anchor,homophones,synonyms,phon_dist,graph_dist
sense,cents,feel,cent,cense
cereal,serial,wheat,aerial,ceral
chaste,chased,celibate,chaped,caste
shoot,chute,blast,boot,hoot
cite,sight,quote,bight,bite
clause,claws,article,chlore,cause
coarse,course,rude,carse,coarser
kernel,colonel,nut,canal,kennel
coup,coo,overthrow,cap,coups
core,corps,basis,boar,bore
creak,creek,screech,areek,creaks
cruise,crews,sailing,bruise,bruiser
symbol,cymbal,emblem,semple,symbols
faint,feint,vague,fent,paint
daze,days,stupor,baize,dazed
do,due,achieve,boo,ado
discussed,disgust,analyzed,discuss,discusser
dough,doe,bread,buff,bough
doughs,doze,breads,doffer,dough
draft,draught,blueprint,craft,raft
facts,fax,reality,facty,facks
feat,feet,triumph,beat,meat
file,phial,record,bile,mile
flair,flare,ability,blair,lair
flee,flea,depart,alley,alee
flue,flu,chimney,blue,clue
flocks,phlox,assembly,flax,flock
floe,flow,iceberg,alo,aloe
flour,flower,blossom,clour,floury
foreword,forward,preamble,forwarder,foreworld
foul,fowl,fetid,bool,afoul
freeze,frieze,refrigerate,breeze,preeze
friar,fryer,monk,briar,briar
gild,guild,adorn,aisled,geld
nice,gneiss,cordial,ice,dice
guerrilla,gorilla,commando,parilla,guerrillas
great,grate,amazing,arite,creat
graze,grays,scrape,braise,braze
grisly,grizzly,horrible,grimly,gristly
groan,grown,grunt,crone,groans
guessed,guest,estimated,best,guesser
hairy,Harry,furry,barie,dairy
hall,haul,entrance,ball,all
have,halve,acquire,cave,rave
heart,hart,love,burt,hear
heard,herd,listened,beard,heart
heroine,heroin,champion,hairpin,heroize
hire,higher,employ,byre,aire
hoard,horde,accumulation,board,hoards
hoarse,horse,harsh,coarse,hoarser
hold,holed,grip,bold,mold
holy,holey,divine,bowly,coly
inn,in,hostel,an,ann
incite,insight,agitate,inside,incide
jewel,joule,gem,jewels,level
need,kneed,commitment,cede,deed
knit,nit,sew,cate,net
leak,leek,crack,beak,aleak
lean,lien,incline,bean,dean
lesson,lessen,practice,listen,lesion
liable,libel,accountable,buyable,likable
liar,lyre,cheat,buyer,fiar
lie,lye,deceit,awee,die
loan,lone,credit,bone,moan
maid,made,servant,bade,caid
mall,maul,marketplace,ball,all
martial,marshall,military,martian,partial
mast,massed,pole,bast,ast
missed,mist,lost,mixed,misled
moan,mown,whine,bone,loan
mode,mowed,style,baud,bode
mood,mooed,feeling,bood,MOOC
moose,mousse,deer,boose,boose
won,one,achieved,bon,on
pause,paws,stop,cause,pauses
peer,pier,associate,ar,beer
pie,pi,cake,awee,die
pistol,pistil,firearm,acetal,pistols
pleas,please,appeals,allies,plea
poor,pore,indigent,azure,boor
praise,preys,acclaim,braise,raise
presents,presence,gifts,present,presented
pride,pried,dignity,ride,bride
principal,principle,main,principals,principally
racket,racquet,extortion,bucket,rackets
rain,reign,precipitation,bain,arain
reign,rain,dynasty,bain,deign
raise,rays,boost,baize,braise
reek,wreak,fetor,beak,areek
wretch,retch,rascal,creche,etch
review,revue,analysis,bevue,preview
rime,rhyme,frost,cyme,crime
right,wright,correct,bight,aright
road,rode,avenue,baud,broad
roam,Rome,ramble,come,foam
role,roll,act,pole,bole
root,route,foundation,boot,hoot
rough,ruff,irregular,beau,bough
rout,route,shutout,bout,out
rue,roux,regret,boo,cue
rye,wry,grain,by,aye
sacks,sax,fires,facks,hacks
seam,seem,joint,beam,team
sear,seer,toast,ar,near
seize,seas,catch,chais,seine
surge,serge,increase,dirge,urge
sick,sic,ill,ake,ick
size,sighs,dimensions,chais,side
sign,sine,manifestation,bine,sigh
slay,sleigh,assassinate,play,lay
slow,sloe,lethargic,alo,blow
soar,sore,ascend,choir,oar
soared,sword,escalated,board,oared
son,sun,boy,bon,on
sunny,sonny,luminous,bunny,funny
stake,steak,pole,slake,sake
stationary,stationery,fixed,stationarity,stationer
strait,straight,honest,strayed,strain
summary,summery,essence,mummery,nummary
tax,tacks,contribution,facks,rax
tear,tare,hole,ar,dear
taut,taught,tight,bought,tat
team,teem,crew,beam,ream
tease,tees,provoke,bees,ease
tighten,titan,narrow,chiton,lighten
told,tolled,said,bold,old
tune,toon,melody,boon,atune
tracked,tract,trailed,bract,cracked
troop,troupe,army,choop,droop
trust,trussed,confidence,arrased,crust
use,ewes,utilize,booze,muse
vary,very,change,barie,mary
verses,versus,poems,verse,erse
wine,whine,alcohol,bine,line
