a,b,c,d,e
foul,fole,fetid,bool,afoul
freeze,friz,refrigerate,breeze,preeze
friar,frier,monk,briar,briar
gild,geeld,adorn,aisled,geld
nice,nais,cordial,ice,dice
guerrilla,gerila,commando,parilla,guerrillas
great,greyt,amazing,arite,creat
graze,greyz,scrape,braise,braze
grisly,grizzley,horrible,grimly,gristly
groan,groene,grunt,crone,groans
guessed,gessed,estimated,best,guesser
hairy,haree,furry,barie,dairy
hall,holl,entrance,ball,all
have,haav,acquire,cave,rave
heart,haart,love,burt,hear
heard,heerd,listened,beard,heart
heroine,herowyn,champion,hairpin,heroize
hire,hyre,employ,byre,aire
hoard,hord,accumulation,board,hoards
hoarse,horce,harsh,coarse,hoarser
hold,hould,grip,bold,mold
holy,holie,divine,bowly,coly
inn,yn,hostel,an,ann
incite,insyt,agitate,inside,incide
jewel,juwle,gem,jewels,level
need,nid,commitment,cede,deed
knit,knit,sew,cate,net
leak,lik,crack,beak,aleak
lean,lin,incline,bean,dean
lesson,lessn,practice,listen,lesion
liable,liabel,accountable,buyable,likable
liar,lyer,cheat,buyer,fiar
lie,lai,deceit,awee,die
loan,loane,credit,bone,moan
maid,meid,servant,bade,caid
mall,mholl,marketplace,ball,all
martial,marshul,military,martian,partial
mast,maest,pole,bast,ast
missed,mistt,lost,mixed,misled
moan,moen,whine,bone,loan
mode,mod,style,baud,bode
mood,muud,feeling,bood,MOOC
moose,mus,deer,boose,boose
won,uon,achieved,bon,on
pause,pauz,stop,cause,pauses
peer,pir,associate,ar,beer
pie,pai,cake,awee,die
pistol,pistel,firearm,acetal,pistols
pleas,pleez,appeals,allies,plea
poor,pur,indigent,azure,boor
praise,praiz,acclaim,braise,raise
presents,presints,gifts,present,presented
pride,praid,dignity,ride,bride
principal,princypel,main,principals,principally
racket,raket,extortion,bucket,rackets
rain,rein,precipitation,bain,arain
reign,rein,dynasty,bain,deign
raise,reiz,boost,baize,braise
reek,rieq,fetor,beak,areek
wretch,retch,rascal,creche,etch
review,revieu,analysis,bevue,preview
rime,raim,frost,cyme,crime
right,rait,correct,bight,aright
road,roed,avenue,baud,broad
roam,rohme,ramble,come,foam
role,roel,act,pole,bole
root,ruut,foundation,boot,hoot
rough,ruffe,irregular,beau,bough
rout,rowt,shutout,bout,out
rue,rew,regret,boo,cue
rye,rai,grain,by,aye
sacks,seics,fires,facks,hacks
seam,ceam,joint,beam,team
sear,cear,toast,ar,near
seize,ceiz,catch,chais,seine
surge,serj,increase,dirge,urge
sick,cik,ill,ake,ick
size,saiz,dimensions,chais,side
sign,sain,manifestation,bine,sigh
slay,slei,assassinate,play,lay
slow,slo,lethargic,alo,blow
soar,soer,ascend,choir,oar
soared,sord,escalated,board,oared
son,sunn,boy,bon,on
sunny,sunnie,luminous,bunny,funny
stake,steik,pole,slake,sake
stationary,stationarie,fixed,stationarity,stationer
strait,streit,honest,strayed,strain
summary,sumery,essence,mummery,nummary
tax,tacs,contribution,facks,rax
tear,teer,hole,ar,dear
taut,toht,tight,bought,tat
team,teim,crew,beam,ream
tease,tiz,provoke,bees,ease
tighten,taiten,narrow,chiton,lighten
told,tould,said,bold,old
tune,tiun,melody,boon,atune
tracked,trackt,trailed,bract,cracked
troop,trup,army,choop,droop
trust,trast,confidence,arrased,crust
use,ius,utilize,booze,muse
vary,veiri,change,barie,mary
verses,virses,poems,verse,erse
wine,uain,alcohol,bine,line
