anchor,homophones,synonyms,phon_dist,graph_dist
ˈb ɔ ɹ d ɝ,ˈb ɔ ɹ d ɝ,ˈɛ d ʒ,ˈb ɔ ɫ d ɝ,ˈb ɝ d ɝ
ˈb o ʊ ɫ d ɝ,ˈb o ʊ ɫ d ɝ,ˌæ d ˈv ɛ n t ʃ ɝ ə s,ˈb o ʊ ɫ t ɝ,ˈb o ʊ d ɝ
ˈb ɔ ɪ,ˈb ɔ ɪ,ˈɡ w i,ˈb e ɪ,ˈt ɔ ɪ
ˈb ɹ i k,ˈb ɹ e ɪ k,ˈk ɹ æ k,ˈɑ ɹ i k,ˈb i k
ˈb ɹ ɛ d,ˈb ɹ ɛ d,ˈk ə ɫ t ɪ ˌv e ɪ t ɪ d,ˈb ɹ æ d,ˈɛ ɹ d
ˈb ɹ ɪ d ə ɫ,ˈb ɹ a ɪ d ə ɫ,ɛ ˈs p u z ə ɫ,ˈb ɹ ɪ k ə ɫ,ˈb ɹ a ɪ ˌd e ɪ ɫ
ˈb ɹ o ʊ t ʃ,ˈb ɹ u t ʃ,ˈb ɹ ɪ ŋ ▁ ˈə p,ˈb ɹ i t ʃ,ˈe ɪ ˈb ɹ o ʊ t ʃ
ˈs ɛ n s,ˈs ɛ n t s,ˈf i ɫ,ˈs ɛ n t,ˈs ɛ n s
ˈs ɪ ɹ i ə ɫ,ˈs ɪ ɹ i ə ɫ,ˈw i t,ˈe ɪ ɹ i ə ɫ,ˈs ɛ ɹ ə ɫ
ˈt ʃ e ɪ s t,ˈt ʃ e ɪ s t,ˈs ɛ ɫ ə ˌb e ɪ t,ˈt ʃ e ɪ p t,ˈk e ɪ s t
ˈʃ u t,ˈʃ u t,ˈb ɫ æ s t,ˈb u t,ˈh u t
ˈs a ɪ t,ˈs a ɪ t,ˈk w o ʊ t,ˈb a ɪ t,ˈb a ɪ t
ˈk ɫ ɔ z,ˈk ɫ ɔ z,ˈɑ ɹ t ɪ k ə ɫ,ˈk ɫ ɔ ɹ,ˈk ɔ z
ˈk ɔ ɹ s,ˈk ɔ ɹ s,ˈɹ u d,ˈk ɑ ɹ s,ˈk ɔ ɹ s ɝ
ˈk ɝ n ə ɫ,ˈk ɑ ɫ ə ˌn ɛ ɫ,ˈn ə t,ˈk æ n ə ɫ,ˈk ɛ n ə ɫ
ˈk u p,ˈk u,ˈo ʊ v ɝ ˌθ ɹ o ʊ,ˈk æ p,ˈk u p s
ˈk ɔ ɹ,ˈk ɔ ɹ p s,ˈb ɑ s ɪ s,ˈb ɔ ɹ,ˈb ɔ ɹ
ˈk ɹ i k,ˈk ɹ i k,ˈs k ɹ i t ʃ,ˈɑ ɹ i k,ˈk ɹ i k s
ˈk ɹ u z,ˈk ɹ u z,ˈs e ɪ ɫ ɪ ŋ,ˈb ɹ u z,ˈb ɹ u z ɝ
ˈs ɪ m b ɔ ɫ,ˈs ɪ m b ə ɫ,ˈɛ m b ɫ ə m,ˈs ɛ m p ə ɫ,ˈs ɪ m b ə ɫ z
ˈf e ɪ n t,ˈf a ɪ n t,ˈv e ɪ ɡ,ˈf ɛ n t,ˈp e ɪ n t
ˈd e ɪ z,ˈd e ɪ z,ˈs t u p ɝ,ˈb e ɪ z,ˈd e ɪ z d
ˈd u,ˈd u,ˈe ɪ ˈt ʃ i v,ˈb u,ˈa ˈd o ʊ
d ɪ ˈs k ə s t,ˈd ɪ s ɡ ə s t,ˈæ n ə ˌɫ a ɪ z d,ˈd ɪ s k ə s,ˈd ɪ s k ə s ɝ
ˈd ə f,ˈd u,ˈb ɹ ɛ d,ˈb ə f,ˈb o ʊ
ˈd ɔ f s,ˈd o ʊ z,ˈb ɹ ɛ d z,ˈd ɔ f ɝ,ˈd ə f
ˈd ɹ æ f t,ˈd ɹ ɔ t,ˈb ɫ u ˌp ɹ ɪ n t,ˈk ɹ æ f t,ˈɹ æ f t
ˈf æ k t s,ˈf æ k s,ˈɹ i ɫ ɪ t i,ˈf æ k t i,ˈf æ k s
ˈf i t,ˈf i t,ˈt ɹ a ɪ ə m f,ˈb i t,ˈm i t
ˈf a ɪ ɫ,ˈf a ɪ ə ɫ,ˈɹ ɛ k ɝ d,ˈb a ɪ ɫ,ˈm a ɪ ɫ
ˈf ɫ ɛ ɹ,ˈf ɫ ɛ ɹ,ə ˈb ɪ ɫ ə t i,ˈb ɫ ɛ ɹ,ˈɫ ɛ ɹ
ˈf ɫ i,ˈf ɫ i,ˈd ɛ p ɑ ɹ t,ˈɔ ɫ i,ˈe ɪ ˈɫ i
ˈf ɫ u,ˈf ɫ u,ˈt ʃ ɪ m n i,ˈb ɫ u,ˈk ɫ u
ˈf ɫ ɑ k s,ˈf ɫ ɑ k s,ˈæ s ə m b ɫ i,ˈf ɫ æ k s,ˈf ɫ ɑ k
ˈf ɫ o ʊ,ˈf ɫ o ʊ,ˈa ɪ s b ɝ ɡ,ˈa ɫ o ʊ,ˈe ɪ ˈɫ o ʊ
ˈf ɫ a ʊ ɹ,ˈf ɫ a ʊ ɝ,ˈb ɫ ɑ s ə m,ˈk ɫ a ʊ ɹ,ˈf ɫ ɝ i
ˈf ɔ ɹ ˌw ɝ d,ˈf ɔ ɹ w ɝ d,ˈp ɹ i m b ə ɫ,ˈf ɔ ɹ w ɝ d ɝ,ˈf ɔ ɹ ˌw ɝ ɫ d
ˈf u ɫ,ˈf a ʊ ɫ,ˈf ɛ t ɪ d,ˈb u ɫ,ˈe ɪ f u ɫ
ˈf ɹ i z,ˈf ɹ i z,ɹ ɪ ˈf ɹ ɪ d ʒ ɝ ˌe ɪ t,ˈb ɹ i z,ˈp ɹ i z
ˈf ɹ a ɪ ɝ,ˈf ɹ a ɪ ɝ,ˈm ɑ ŋ k,ˈb ɹ a ɪ ɝ,ˈb ɹ a ɪ ɝ
ˈɡ ɪ ɫ d,ˈɡ w ɪ ɫ d,ˈe ɪ d ɝ n,ˈa ɪ ɫ d,ˈɡ ɛ ɫ d
ˈn a ɪ s,ˈɡ n i s,ˈk ɔ ɹ d i ə ɫ,ˈa ɪ s,ˈd a ɪ s
ɡ ɝ ˈɪ ɫ ə,ɡ ɔ ˈɹ ɪ ɫ ə,k ə ˈm æ n d o ʊ,p ɝ ˈɪ ɫ ə,ɡ ɝ ˈɪ ɫ ə z
ˈɡ ɹ i t,ˈɡ ɹ e ɪ t,ˈɑ m ə z ɪ ŋ,ˈɑ ɹ i t,ˈk ɹ i t
ˈɡ ɹ e ɪ z,ˈɡ ɹ e ɪ z,ˈs k ɹ e ɪ p,ˈb ɹ e ɪ z,ˈb ɹ e ɪ z
ˈɡ ɹ ɪ s ɫ i,ˈɡ ɹ ɪ z ɫ i,ˈh ɔ ɹ ə b ə ɫ,ˈɡ ɹ ɪ m ɫ i,ˈɡ ɹ ɪ s t ɫ i
ˈɡ ɹ o ʊ n,ˈɡ ɹ a ʊ n,ˈɡ ɹ ə n t,ˈk ɹ o ʊ n,ˈɡ ɹ o ʊ n z
ˈɡ ɛ s t,ˈɡ ɛ s t,ˈɛ s t ə ˌm e ɪ t ɪ d,ˈb ɛ s t,ˈɡ ɛ s ɝ
ˈh ɛ ɹ i,ˈh æ ɹ i,ˈf ɝ i,ˈb ɛ ɹ i,ˈd ɛ ɹ i
ˈh ɔ ɫ,ˈh o ʊ ɫ,ˈɛ n t ɹ ə n s,ˈb ɔ ɫ,ˈɔ ɫ
ˈh e ɪ v,ˈh æ ɫ v,ˈɑ ˈk w a ɪ ɝ,ˈk e ɪ v,ˈɹ e ɪ v
ˈh ɝ t,ˈh ɑ ɹ t,ˈɫ ə v,ˈb ɝ t,ˈh ɪ ɹ
ˈh ɪ ɹ d,ˈh ɝ d,ˈɫ ɪ s ə n d,ˈb ɪ ɹ d,ˈh ɝ t
ˈh ɛ ɹ ɔ ɪ n,ˈh ɛ ɹ ɔ ɪ n,ˈt ʃ æ m p i ə n,ˈh ɛ ɹ p ɪ n,ˈh ɛ ɹ w ɑ z
ˈh a ɪ ɹ,ˈh a ɪ ɝ,ˈɛ m ˌp ɫ ɔ ɪ,ˈb a ɪ ɹ,ˈɛ ɹ
ˈh ɔ ɹ d,ˈh ɔ ɹ d,ˌæ k j ə m j ə ˈɫ e ɪ ʃ ə n,ˈb ɔ ɹ d,ˈh ɔ ɹ d z
ˈh ɔ ɹ s,ˈh ɔ ɹ s,ˈh ɑ ɹ ʃ,ˈk ɔ ɹ s,ˈh ɔ ɹ s ɝ
ˈh o ʊ ɫ d,ˈh o ʊ ɫ d,ˈɡ ɹ ɪ p,ˈb o ʊ ɫ d,ˈm o ʊ ɫ d
ˈh o ʊ ɫ i,ˈh o ʊ ɫ i,d ɪ ˈv a ɪ n,ˈb o ʊ ɫ i,ˈk o ʊ ɫ i
ˈɪ n,ˈɪ n,ˈh ɑ s t ə ɫ,ˈa n,ˈæ n
ˈɪ n ˌs a ɪ t,ˈɪ n ˌs a ɪ t,ˈæ d ʒ ə ˌt e ɪ t,ˈɪ n ˌs a ɪ d,ˈɪ n ˈs a ɪ d
ˈd ʒ u ə ɫ,ˈd ʒ u ɫ,ˈɡ ɛ m,ˈd ʒ u ə ɫ z,ˈɫ ɛ v ə ɫ
ˈn i d,ˈn i d,ˈk ɑ m ə t m ə n t,ˈs i d,ˈd i d
ˈk n ɪ t,ˈn ɪ t,ˈs j u,ˈk e ɪ t,ˈn ɛ t
ˈɫ i k,ˈɫ i k,ˈk ɹ æ k,ˈb i k,ˈe ɪ ɫ i k
ˈɫ i n,ˈɫ i n,ˈɪ ŋ ˈk ɫ a ɪ n,ˈb i n,ˈd i n
ˈɫ ɛ s ə n,ˈɫ ɛ s ə n,ˈp ɹ æ k t ɪ s,ˈɫ ɪ s ə n,ˈɫ i ʒ ə n
ˈɫ a ɪ ə b ə ɫ,ˈɫ ɪ b ə ɫ,ə ˈk a ʊ n t ə b ə ɫ,ˈb a ɪ ə b ə ɫ,ˈɫ a ɪ k ə b ə ɫ
ˈɫ a ɪ ɝ,ˈɫ a ɪ ɹ,ˈt ʃ i t,ˈb a ɪ ɝ,ˈf i ɑ ɹ
ˈɫ i,ˈɫ a ɪ,ˈd ɛ s i t,ˈɔ i,ˈd i
ˈɫ o ʊ n,ˈɫ o ʊ n,ˈk ɹ ɛ d ɪ t,ˈb o ʊ n,ˈm o ʊ n
ˈm e ɪ d,ˈm e ɪ d,ˈs ɝ v ə n t,ˈb e ɪ d,ˈk e ɪ d
ˈm ɔ ɫ,ˈm ɔ ɫ,ˈm ɑ ɹ k ɪ t ˌp ɫ e ɪ s,ˈb ɔ ɫ,ˈɔ ɫ
ˈm ɑ ɹ ʃ ə ɫ,ˈm ɑ ɹ ʃ ə ɫ,ˈm ɪ ɫ ə ˌt ɛ ɹ i,ˈm ɑ ɹ ʃ ə n,ˈp ɑ ɹ ʃ ə ɫ
ˈm æ s t,ˈm æ s t,ˈp o ʊ ɫ,ˈb æ s t,ˈa s t
ˈm ɪ s t,ˈm ɪ s t,ˈɫ ɑ s t,ˈm ɪ k s t,ˈm ɪ s ə ɫ d
ˈm o ʊ n,ˈm a ʊ n,ˈw a ɪ n,ˈb o ʊ n,ˈɫ o ʊ n
ˈm o ʊ d,ˈm o ʊ d,ˈs t a ɪ ɫ,ˈb o ʊ d,ˈb o ʊ d
ˈm u d,ˈm u d,ˈf i ɫ ɪ ŋ,ˈb u d,ˈm u k
ˈm u s,ˈm u s,ˈd ɪ ɹ,ˈb u s,ˈb u s
ˈw ɑ n,ˈw ə n,ˈe ɪ ˈt ʃ i v d,ˈb ɑ n,ˈɔ n
ˈp ɔ z,ˈp ɔ z,ˈs t ɑ p,ˈk ɔ z,ˈp ɔ z ɪ z
ˈp ɪ ɹ,ˈp i ɝ,ə ˈs o ʊ ʃ i ˌe ɪ t,ˈa ɪ ɹ,ˈb ɪ ɹ
ˈp i,ˈp i,ˈk e ɪ k,ˈɔ i,ˈd i
ˈp ɪ s t ə ɫ,ˈp ɪ s t ə ɫ,ˈf a ɪ ɹ ɑ ɹ m,ˈe ɪ s t ə ɫ,ˈp ɪ s t ə ɫ z
ˈp ɫ i z,ˈp ɫ i z,ə ˈp i ɫ z,ˈɔ ɫ i z,ˈp ɫ i
ˈp ʊ ɹ,ˈp ɔ ɹ,ˈɪ n d ɪ d ʒ ə n t,ˈa ʊ ɹ,ˈb ʊ ɹ
ˈp ɹ e ɪ z,ˈp ɹ e ɪ z,ˈæ ˌk ɫ e ɪ m,ˈb ɹ e ɪ z,ˈɹ e ɪ z
ˈp ɹ i z ə n t s,ˈp ɹ i z ə n s,ˈɡ ɪ f t s,ˈp ɹ i z ə n t,p ɹ ɪ ˈz ɛ n t ɪ d
ˈp ɹ a ɪ d,ˈp ɹ a ɪ d,ˈd ɪ ɡ n ɪ t i,ˈɹ a ɪ d,ˈb ɹ a ɪ d
ˈp ɹ ɪ n s ə p ə ɫ,ˈp ɹ ɪ n s ə p ə ɫ,ˈm e ɪ n,ˈp ɹ ɪ n s ə p ə ɫ z,ˈp ɹ ɪ n s ə p ɫ i
ˈɹ æ k ə t,ˈɹ æ k ə t,ɛ k ˈs t ɔ ɹ ʃ ə n,ˈb ə k ə t,ˈɹ æ k ə t s
ˈɹ e ɪ n,ˈɹ e ɪ n,p ɹ ɪ ˌs ɪ p ə ˈt e ɪ ʃ ə n,ˈb e ɪ n,ˈa ɹ e ɪ n
ˈɹ e ɪ n,ˈɹ e ɪ n,ˈd a ɪ n ə s t i,ˈb e ɪ n,ˈd e ɪ n
